date	value
2015-09-20	8
2015-09-27	7
2015-10-04	4
2015-10-11	6
2015-10-18	7
2015-10-25	23
2015-11-01	18
2015-11-08	0
2015-11-15	0
2015-11-22	5
2015-11-29	0
2015-12-06	2
2015-12-13	5
2015-12-20	0
2015-12-27	0
2016-01-03	0
2016-01-10	0
2016-01-17	1
2016-01-24	0
2016-01-31	2
2016-02-07	0
2016-02-14	0
2016-02-21	0
2016-02-28	0
2016-03-06	0
2016-03-13	0
2016-03-20	0
2016-03-27	0
2016-04-03	0
2016-04-10	0
2016-04-17	0
2016-04-24	0
2016-05-01	0
2016-05-08	0
2016-05-15	0
2016-05-22	0
2016-05-29	0
2016-06-05	0
2016-06-12	0
2016-06-19	0
2016-06-26	0
2016-07-03	0
2016-07-10	0
2016-07-17	1
2016-07-24	0
2016-07-31	0
2016-08-07	0
2016-08-14	0
2016-08-21	0
2016-08-28	0
2016-09-04	0
2016-09-11	0
2016-09-18	0
2016-09-25	0
2016-10-02	0
2016-10-09	0
2016-10-16	0
2016-10-23	0
2016-10-30	0
